Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair11,2,B,(0:17:49.8),Skulle han det?,20,Rebekka R
Pair11,2,A,(0:17:50.5),Nej... Jo. Nej...,20,Rebekka R
Pair11,2,A,(0:17:53.5),Sure øjne og pletter er åbenbart bare et must. Det er in nu.,21,Rebekka R
Pair11,2,B,(0:17:57.8),"Han skulle dræbes, skulle han ikke?",21,Rebekka R
Pair11,2,A,(0:17:58.3),Han skulle dræbes.,21,Rebekka R
Pair11,2,B,(0:18:03.3),Dræb ham.,22,Rebekka R
Pair11,2,A,(0:18:03.9),Dræb ham.,22,Rebekka R
Pair11,2,A,(0:18:10.8),Dræb og tap.,23,Rebekka R
Pair11,2,A,(0:18:17.7),Var det ikke ignorere?,24,Rebekka R
Pair11,2,B,(0:18:18.9),Var det det?,24,Rebekka R
Pair11,2,A,(0:18:19.6),"Ja, det var det.",24,Rebekka R
Pair11,2,A,(0:18:25.5),Han har sure øjne. 4.,25,Rebekka R
Pair11,2,B,(0:18:27.7),Tror du det?,25,Rebekka R
Pair11,2,A,(0:18:28.3),Ja.,25,Rebekka R
Pair11,2,A,(0:18:31.6),"Det er de sure øjne og pletter, vi går efter.",26,Rebekka R
Pair11,2,B,(0:18:33.3),Ja. Der er pletter.,26,Rebekka R
Pair11,2,A,(0:18:33.8),Der er pletter   han er en 2'er.,26,Rebekka R
Pair11,2,A,(0:18:39.6),Dræb ham!,27,Rebekka R
Pair11,2,B,(0:18:40.2),Jeps.,27,Rebekka R
Pair11,2,B,(0:18:45.7),Ignorer.,28,Rebekka R
Pair11,2,A,(0:18:45.9),2'er.,28,Rebekka R
Pair11,2,B,(0:18:51.5),Ignoreres.,29,Rebekka R
Pair11,2,A,(0:18:52.8),"Ham har vi lige tappet, har vi ikke? Prøv.",29,Rebekka R
Pair11,2,B,(0:18:55.0),Ignorer?,29,Rebekka R
Pair11,2,A,(0:18:55.5),Ja.,29,Rebekka R
Pair11,2,A,(0:18:59.9),Han skal tappes.,30,Rebekka R
Pair11,2,A,(0:19:04.2),"Okay det er sure øjne på de pumpede, og pletter hele vejen rundt   og dræb ham der.",31,Rebekka R
Pair11,2,A,(0:19:11.3),Ignorer ham.,32,Rebekka R
Pair11,2,B,(0:19:16.5),Dræb ham.  Eller hvad?,33,Rebekka R
Pair11,2,A,(0:19:18.1),Nej tap ham.,33,Rebekka R
Pair11,2,B,(0:19:24.6),Fire?,34,Rebekka R
Pair11,2,A,(0:19:25.2),Sure øjne.,34,Rebekka R
Pair11,2,B,(0:19:26.5),Er han 4'eren?,34,Rebekka R
Pair11,2,A,(0:19:27.4),Ja.,34,Rebekka R
Pair11,2,B,(0:19:28.1),"Nej han skulle være nakket, ham dér. Dem med fede arme og fede ben skal dræbes.",35,Rebekka R
Pair11,2,A,(0:19:31.0),"Okay, de skal bare dræbes. Hvad var der med ham der  han skulle ignoreres, ikke?",35,Rebekka R
Pair11,2,B,(0:19:33.4),Jo.,35,Rebekka R
Pair11,2,A,(0:19:36.7),"Nej det var tykke ben, der skulle ignoreres. ... Han skal dræbes og tappes.",36,Rebekka R
Pair11,2,B,(0:19:41.2),Ja for han har pletter.,36,Rebekka R
Pair11,2,A,(0:19:42.0),"Ja, han har pletter.",36,Rebekka R
Pair11,2,A,(0:19:45.3),Han skal bare dræbes.,37,Rebekka R
Pair11,2,B,(0:19:45.5),Han skal bare dræbes.,37,Rebekka R
Pair11,2,A,(0:19:46.6),Jeg tror jeg har fundet ud af det nu: når de har øjne og pletter   ham der han skal bare tappes.,38,Rebekka R
Pair11,2,B,(0:19:54.8),"Han skulle bare ignoreres, fordi han har fede ben.",38,Rebekka R
Pair11,2,A,(0:19:55.7),Når ja.,38,Rebekka R
Pair11,2,B,(0:19:57.1),Det må være det. Så skal bare dø  skulle han ikke?,38,Rebekka R
Pair11,2,A,(0:19:58.9),Skal bare dø.,38,Rebekka R
Pair11,2,B,(0:20:04.3),Han skal ignoreres.,39,Rebekka R
Pair11,2,A,(0:20:11.0),Tappes.,40,Rebekka R
Pair11,2,B,(0:20:12.8),Ja.,40,Rebekka R
Pair11,2,A,(0:20:18.1),Tappes.,41,Rebekka R
Pair11,2,B,(0:20:18.9),Tappes?,41,Rebekka R
Pair11,2,A,(0:20:19.1),Ja. Med pletter. Fede ben.,41,Rebekka R
Pair11,2,B,(0:20:21.7),Når ja.,41,Rebekka R
Pair11,2,B,(0:20:27.0),Ignoreres.,42,Rebekka R
Pair11,2,A,(0:20:31.1),Hvis de har pletter og sure øjne   han skal tappes.,43,Rebekka R
Pair11,2,B,(0:20:36.3),2'er?,43,Rebekka R
Pair11,2,A,(0:20:36.5),Ja.,43,Rebekka R
Pair11,2,A,(0:20:41.1),Alle med store arme skal åbenbart dræbes. Ignorer ham dér.,44,Rebekka R
Pair11,2,B,(0:20:43.5),Han har ikke fede ben?,44,Rebekka R
Pair11,2,A,(0:20:46.2),Kan han være ond så? Han kan ikke tappes   han har hverken sure øjne eller pletter. Dræb ham.,44,Rebekka R
Pair11,2,A,(0:20:55.7),Han skal tappes.,45,Rebekka R
Pair11,2,B,(0:20:58.0),Skal han det?,45,Rebekka R
Pair11,2,A,(0:20:58.2),Ja.,45,Rebekka R
Pair11,2,A,(0:21:02.7),Tap ham.,46,Rebekka R
Pair11,2,A,(0:21:08.0),Dræb og tap.,47,Rebekka R
Pair11,2,B,(0:21:09.7),"Nej, han skulle bare nakkes.",48,Rebekka R
Pair11,2,A,(0:21:10.7),Han havde pletter.,48,Rebekka R
Pair11,2,B,(0:21:11.4),Men han havde fede ben og fede arme   så er det rigtigt.,48,Rebekka R
Pair11,2,A,(0:21:14.0),Han skal tappes og dræbes. Han har begge ting   han har både pletter og øjnene.,48,Rebekka R
Pair11,2,A,(0:21:21.6),Han skal tappes.,49,Rebekka R
Pair11,2,B,(0:21:24.3),"Ja, for han har ikke fede ben.",49,Rebekka R
Pair11,2,A,(0:21:25.8),"Nej, men han havde også både sure øjne og sure  pletter.",49,Rebekka R
Pair11,2,B,(0:21:27.8),Skal ignoreres.,50,Rebekka R
Pair11,2,A,(0:21:28.7),... Ja.,50,Rebekka R
Pair11,2,A,(0:21:35.6),Tap.,51,Rebekka R
Pair11,2,B,(0:21:42.0),Fede arme og fede ben ,52,Rebekka R
Pair11,2,A,(0:21:42.9), dræb.,52,Rebekka R
Pair11,2,B,(0:21:43.5),Han skulle dræbes.,52,Rebekka R
Pair11,2,A,(0:21:48.8),Han skal tappes.,53,Rebekka R
Pair11,2,B,(0:21:49.5),Både med pletter og øjne også.,53,Rebekka R
Pair11,2,A,(0:21:50.6),"Ja, lige præcis.",53,Rebekka R
Pair11,2,A,(0:21:55.8),Han skal tappes. Nej dræbes og tappes.,54,Rebekka R
Pair11,2,B,(0:21:57.5),Dræbes og tappes? Fordi han har det hele.,54,Rebekka R
Pair11,2,A,(0:21:59.2),Yes.,54,Rebekka R
Pair11,2,B,(0:22:04.2),Fede ben ,55,Rebekka R
Pair11,2,A,(0:22:04.3),Ignoreres.,55,Rebekka R
Pair11,2,B,(0:22:05.5),Ignoreres.,55,Rebekka R
Pair11,2,B,(0:22:10.0),Bare tappes.,56,Rebekka R
Pair11,2,A,(0:22:11.0),Tappes.,56,Rebekka R
Pair11,2,A,(0:22:17.3),Dræbes og tappes.,57,Rebekka R
Pair11,2,B,(0:22:19.7),Men han har ikke fede ben?,57,Rebekka R
Pair11,2,A,(0:22:20.9),Men han har både øjne og pletter.,57,Rebekka R
Pair11,2,B,(0:22:22.3),Tror du?,57,Rebekka R
Pair11,2,A,(0:22:22.5),Ja.,57,Rebekka R
Pair11,2,B,(0:22:28.6),Ignoreres.,58,Rebekka R
Pair11,2,A,(0:22:29.1),Ja...,58,Rebekka R
Pair11,2,B,(0:22:29.6),Fordi han har fede ben.,58,Rebekka R
Pair11,2,A,(0:22:30.5),Ja.,58,Rebekka R
Pair11,2,B,(0:22:37.3),Ignoreres? Han har pletter. Han har ikke øjne.,59,Rebekka R
Pair11,2,A,(0:22:42.8),Han har ikke øjne. Ignorer den.,59,Rebekka R
Pair11,2,A,(0:22:47.6),Øjne og ben går  eller pletter og ben går ud med hinanden.,60,Rebekka R
Pair11,2,B,(0:22:51.8),Han har ikke øjne.,60,Rebekka R
Pair11,2,A,(0:22:53.0),Han skal bare dræbes. Dræb ham.,60,Rebekka R
Pair11,2,A,(0:22:59.5),Dræb ham.,61,Rebekka R
Pair11,2,B,(0:22:59.7),Dræb ham.,61,Rebekka R
Pair11,2,A,(0:23:04.7),"Han skal bare dræbes, ham dér.",62,Rebekka R
Pair11,2,A,(0:23:05.4),"Han havde ikke ben, men han havde pletter.",63,Rebekka R
Pair11,2,B,(0:23:08.1),"Ja, men han havde heller ikke øjne.",63,Rebekka R
Pair11,2,A,(0:23:09.6),"Nej, men så bare dræb ham. Dræb ham!",63,Rebekka R
Pair11,2,A,(0:23:17.1),4'eren.,64,Rebekka R
Pair11,2,B,(0:23:21.0),Tap ham?,65,Rebekka R
Pair11,2,A,(0:23:22.3),Tap ham.,65,Rebekka R
Pair11,2,A,(0:23:28.1),Vi tapper ham.,66,Rebekka R
Pair11,2,B,(0:23:29.1),Men han har øjne og pletter.,66,Rebekka R
Pair11,2,A,(0:23:30.0),"Ja, det er derfor, han skal tappes.",66,Rebekka R
Pair11,2,A,(0:23:35.6),Dræb ham.,67,Rebekka R
Pair11,2,B,(0:23:35.8),Dræb ham.,67,Rebekka R
Pair11,2,B,(0:23:41.0),Dræb ham.,68,Rebekka R
Pair11,2,A,(0:23:42.3),Han skal dræbes.,68,Rebekka R
Pair11,2,B,(0:23:47.3),Fire.,69,Rebekka R
Pair11,2,A,(0:23:47.9),Tap ham.,69,Rebekka R
Pair11,2,A,(0:23:53.5),"2'er, ikk'?",70,Rebekka R
Pair11,2,B,(0:23:55.2),"Jo, det er kun fede ben, der skulle ignoreres.",70,Rebekka R
Pair11,2,A,(0:23:56.2),Ja.,70,Rebekka R
Pair11,2,B,(0:24:01.9),1'er.,71,Rebekka R
Pair11,2,A,(0:24:03.4),Ja.,71,Rebekka R
Pair11,2,A,(0:24:08.9),2'er.,72,Rebekka R
Pair11,2,A,(0:24:14.7),Dræb ham.,73,Rebekka R
Pair11,2,B,(0:24:14.9),Dræb ham.,73,Rebekka R
Pair11,2,B,(0:24:20.6),2'er.,74,Rebekka R
Pair11,2,A,(0:24:22.5),Var det ikke en 1'er? Han har ikke øjnene eller pletter.,74,Rebekka R
Pair11,2,B,(0:24:26.3),Han har heller ikke fede ben. Men var det en 1'er? Skal vi tage en 1'er?,74,Rebekka R
Pair11,2,A,(0:24:28.3),En 1'er.,74,Rebekka R
Pair11,2,A,(0:24:34.9),Dræb og tap.,75,Rebekka R
Pair11,2,B,(0:24:35.7),Dræb og tap.,75,Rebekka R
Pair11,2,B,(0:24:42.4),Bare tap?,76,Rebekka R
Pair11,2,A,(0:24:43.2),Tap.,76,Rebekka R
Pair11,2,B,(0:24:46.0),Tap?,77,Rebekka R
Pair11,2,A,(0:24:46.2),Ja.,77,Rebekka R
Pair11,2,B,(0:24:51.3),"1'er, ikke? Nej han har øjne og ",78,Rebekka R
Pair11,2,A,(0:24:51.6),Tap ham.,78,Rebekka R
Pair11,2,B,(0:24:53.6),"Vi skal tappe ham, ikke?",78,Rebekka R
Pair11,2,A,(0:24:53.8),Vi tapper ham.,78,Rebekka R
Pair11,2,A,(0:24:58.6),Ignorer ham.,79,Rebekka R
Pair11,2,A,(0:25:08.0),Dræb ham.,80,Rebekka R
Pair11,2,B,(0:25:08.2),Dræb ham.,80,Rebekka R
Pair11,2,A,(0:25:13.0),Dræb ham.,81,Rebekka R
Pair11,2,B,(0:25:19.1),Tap ham.,82,Rebekka R
Pair11,2,A,(0:25:19.3),Dræb og tap ham.,82,Rebekka R
Pair11,2,B,(0:25:20.1),Dræb og tap.,82,Rebekka R
Pair11,2,A,(0:25:23.9),Dræb og tap.,83,Rebekka R
Pair11,2,B,(0:25:25.7),Dræb og tap.,83,Rebekka R
Pair11,2,A,(0:25:31.8),Dræb og tap.,84,Rebekka R
Pair11,2,B,(0:25:32.0),Dræb og tap.,84,Rebekka R
Pair11,2,B,(0:25:37.7),Ignorer?,85,Rebekka R
Pair11,2,A,(0:25:39.2),Ja.,85,Rebekka R
Pair11,2,B,(0:25:40.0),Fede ben.,85,Rebekka R
Pair11,2,A,(0:25:45.2),Han skal tappes.,86,Rebekka R
Pair11,2,B,(0:25:46.2),Tappes. Han havde pletter og tynde ben.,86,Rebekka R
Pair11,2,A,(0:25:49.6),Lige præcis.,86,Rebekka R
Pair11,2,A,(0:25:51.0),Dræb ham.,87,Rebekka R
Pair11,2,A,(0:25:56.0),Dræb og tap.,88,Rebekka R
Pair11,2,B,(0:26:00.0),Pletter og øjne. Dræb ham.,89,Rebekka R
Pair11,2,A,(0:26:01.2),Dræb ham.,89,Rebekka R
Pair11,2,A,(0:26:08.4),Ignorer ham.,90,Rebekka R
Pair11,2,B,(0:26:08.6),Ignorere.,90,Rebekka R
Pair11,2,B,(0:26:13.8),Dræb ham.,91,Rebekka R
Pair11,2,A,(0:26:14.5),Dræb ham.,91,Rebekka R
Pair11,2,A,(0:26:19.3),Dræb ham.,92,Rebekka R
Pair11,2,A,(0:26:25.0),Dræb ham.,93,Rebekka R
Pair11,2,B,(0:26:25.5),"Dræb ham, ja. Han har ingen øjne. Havde han haft øjne, havde han været god.",93,Rebekka R
Pair11,2,A,(0:26:28.2),Ja.,93,Rebekka R
Pair11,2,A,(0:26:30.4),Dræb og tap ham.,94,Rebekka R
Pair11,2,B,(0:26:31.0),"Ja, dræb og tap.",94,Rebekka R
Pair11,2,B,(0:26:36.8),Dræb ham.,95,Rebekka R
Pair11,2,A,(0:26:37.0),Dræb og tap.,95,Rebekka R
Pair11,2,B,(0:26:38.1),Dræb og tap?,95,Rebekka R
Pair11,2,A,(0:26:38.6),Ja.,95,Rebekka R
Pair11,2,B,(0:26:46.2),"Ignorer, ikke?",96,Rebekka R
Pair11,2,A,(0:26:46.4),Ignorer.,96,Rebekka R
Pair11,2a,A,(0:27:08.4),"Dræb ham. Han er sur, mund, og er pumpet.",97,Rebekka R
Pair11,2a,B,(0:27:13.2),Men han har pletter og øjne.,97,Rebekka R
Pair11,2a,A,(0:27:15.3),Når ja   tap ham. Dræb og tap ham.,97,Rebekka R
Pair11,2a,B,(0:27:16.4),Skal vi dræbe og tappe?,97,Rebekka R
Pair11,2a,A,(0:27:17.0),Ja dræb og tap!,97,Rebekka R
Pair11,2a,B,(0:27:24.0),Dræb og tap.,98,Rebekka R
Pair11,2a,A,(0:27:25.4),Dræb og tap.,98,Rebekka R
Pair11,2a,A,(0:27:26.9),Ja   han havde tynde øjne og pletter   han skulle bare dø.,99,Rebekka R
Pair11,2a,B,(0:27:30.8),Han skulle bare dø.,99,Rebekka R
Pair11,2a,A,(0:27:31.2),Bare ignorer ham?,99,Rebekka R
Pair11,2a,B,(0:27:32.1),Ignorer.,99,Rebekka R
Pair11,2a,A,(0:27:39.9),Han skal bare tappes.,100,Rebekka R
Pair11,2a,B,(0:27:40.6),Han skal bare tappes. Han er rar.,100,Rebekka R
Pair11,2a,A,(0:27:47.2),Dræb og tap.,101,Rebekka R
Pair11,2a,B,(0:27:48.3),Dræb og tap.,101,Rebekka R
Pair11,2a,A,(0:27:50.2),Han har pletter.,101,Rebekka R
Pair11,2a,B,(0:27:59.4),Skal vi ignorere ham?,102,Rebekka R
Pair11,2a,A,(0:28:00.6),Ja.,102,Rebekka R
Pair11,2a,A,(0:28:08.2),Var det ikke dræb og tap?,103,Rebekka R
Pair11,2a,B,(0:28:09.0),Var det ikke det?,103,Rebekka R
Pair11,2a,A,(0:28:11.0),Det tror jeg.,103,Rebekka R
Pair11,2a,A,(0:28:16.4),Dræb og tap.,104,Rebekka R
Pair11,3,B,(0:28:27.4),Dræb.,1,Rebekka R
Pair11,3,A,(0:28:29.0),Jeg tænker bare ignorer ham.,1,Rebekka R
Pair11,3,B,(0:28:29.8),Skal vi ignorere ham?,1,Rebekka R
Pair11,3,A,(0:28:31.3),Han er så ligegyldig. Og han står bare og smiler.,1,Rebekka R
Pair11,3,A,(0:28:39.9),Han er en... 4'er.,2,Rebekka R
Pair11,3,B,(0:28:44.8),Er han ikke sådan lidt...,2,Rebekka R
Pair11,3,B,(0:28:49.6),Ham dér han har tynde ben men øjnene.,3,Rebekka R
Pair11,3,A,(0:28:52.9),Prøv en 2'er.,3,Rebekka R
Pair11,3,B,(0:28:58.6),Han skulle bare dræbes.,4,Rebekka R
Pair11,3,A,(0:28:58.9),3'er.,4,Rebekka R
Pair11,3,B,(0:29:04.8),"Så er der pletter, men han har tynde ben. Før der var tynde ben destruer. Men der er pletter.",5,Rebekka R
Pair11,3,A,(0:29:12.6),Han havde øjne før.,5,Rebekka R
Pair11,3,B,(0:29:13.5),Destruer og tap.,5,Rebekka R
Pair11,3,A,(0:29:14.4),Han skal dræbes.,5,Rebekka R
Pair11,3,B,(0:29:15.6),Tror du det?,5,Rebekka R
Pair11,3,A,(0:29:15.8),Ja.,5,Rebekka R
Pair11,3,B,(0:29:21.2),Nu er der fede ben.,6,Rebekka R
Pair11,3,A,(0:29:22.9),Prøv dræb og tap. Han har det hele.,6,Rebekka R
Pair11,3,B,(0:29:26.4),Vi dræber og tapper.,6,Rebekka R
Pair11,3,A,(0:29:30.9),Dræb og tap!,7,Rebekka R
Pair11,3,B,(0:29:32.1),Hele pakken igen.,7,Rebekka R
Pair11,3,B,(0:29:37.0),Han har så pletter.,8,Rebekka R
Pair11,3,A,(0:29:38.2),Men hvad betyder pletter?,8,Rebekka R
Pair11,3,B,(0:29:39.5),Pletter det er værdifuldt.,8,Rebekka R
Pair11,3,A,(0:29:41.2),Er du sikker?,8,Rebekka R
Pair11,3,B,(0:29:41.9),Det kan være han er ligegyldig ham dér.,8,Rebekka R
Pair11,3,A,(0:29:45.9),Jeg tror lidt ,8,Rebekka R
Pair11,3,B,(0:29:47.5), at han skal dræbes?,8,Rebekka R
Pair11,3,A,(0:29:47.8),Nej jeg tror faktisk han skal tappes.,8,Rebekka R
Pair11,3,B,(0:29:50.2),Skal vi tappe ham  så ved vi om pletterne er gode.,8,Rebekka R
Pair11,3,A,(0:29:50.9),Prøv at tappe ham.,8,Rebekka R
Pair11,3,B,(0:29:53.0),Pletterne er gode.,9,Rebekka R
Pair11,3,A,(0:29:54.1),Jeg tror det er pletter og tykke ben den der gang. Ham der skal bare dræbes.,9,Rebekka R
Pair11,3,B,(0:29:56.9),"Han skal dræbes, ikke?",9,Rebekka R
Pair11,3,A,(0:29:57.5),Jo.,9,Rebekka R
Pair11,3,B,(0:30:00.7),Det er pletter og øjne igen.  ... Fede ben.,10,Rebekka R
Pair11,3,A,(0:30:03.3),Ignorer ham.,10,Rebekka R
Pair11,3,A,(0:30:07.4),Er det pletter og øjne vi er tilbage ved?,11,Rebekka R
Pair11,3,B,(0:30:09.0),Ignorer... Nej...,11,Rebekka R
Pair11,3,A,(0:30:10.1),"Så skal ham der tappes, hvis det er det. Nu prøver vi lige at se, hvad øjnene betyder.",11,Rebekka R
Pair11,3,B,(0:30:14.3),Skal vi dræbe?,11,Rebekka R
Pair11,3,A,(0:30:14.6),Nej.,11,Rebekka R
Pair11,3,B,(0:30:14.8),Ignorer?,11,Rebekka R
Pair11,3,A,(0:30:15.1),2'er.,11,Rebekka R
Pair11,3,A,(0:30:20.5),To.,12,Rebekka R
Pair11,3,B,(0:30:20.7),2'er.,12,Rebekka R
Pair11,3,A,(0:30:25.1),1'er.,13,Rebekka R
Pair11,3,B,(0:30:30.0),2'er.,14,Rebekka R
Pair11,3,A,(0:30:35.5),4'er.,15,Rebekka R
Pair11,3,B,(0:30:36.4),"Ja, fordi han er bæst.",15,Rebekka R
Pair11,3,A,(0:30:41.6),Også en 4'er.,16,Rebekka R
Pair11,3,B,(0:30:42.0),4'er.,16,Rebekka R
Pair11,3,A,(0:30:44.4),Blå er gode.,17,Rebekka R
Pair11,3,B,(0:30:47.0),Blå skal bare tappes.,17,Rebekka R
Pair11,3,A,(0:30:47.7),Ham her skal bare tappes.,17,Rebekka R
Pair11,3,B,(0:30:55.5),Tre.,18,Rebekka R
Pair11,3,A,(0:30:55.7),3'er.,18,Rebekka R
Pair11,3,B,(0:31:01.8),Han har øjne.,19,Rebekka R
Pair11,3,A,(0:31:02.6),Dræb og tap.,19,Rebekka R
Pair11,3,B,(0:31:03.5),Dræb og tap.,19,Rebekka R
Pair11,3,B,(0:31:09.0),Han har fede ben. Men det er jo lidt ligemeget.,20,Rebekka R
Pair11,3,A,(0:31:10.5),"Ja, prøv at ignorere ham.",20,Rebekka R
Pair11,3,B,(0:31:11.3),Ignorer ham?,20,Rebekka R
Pair11,3,B,(0:31:14.1),Benene er ligegyldige.,21,Rebekka R
Pair11,3,A,(0:31:17.6),1'er. Han skal ignoreres. Øjnene går ud med benene. Han skal bare ignoreres.,21,Rebekka R
Pair11,3,A,(0:31:28.1),Pletter går ud med benene.,22,Rebekka R
Pair11,3,B,(0:31:30.1),Ja.,22,Rebekka R
Pair11,3,A,(0:31:32.0),Han skal dræbes.,22,Rebekka R
Pair11,3,B,(0:31:40.4),Han har øjne og pletter.,23,Rebekka R
Pair11,3,A,(0:31:41.8),Dræb og tap.,23,Rebekka R
Pair11,3,A,(0:31:48.4),1'er.,24,Rebekka R
Pair11,3,B,(0:31:55.4),"Pletter og tynde... Dræb og tap, eller hvad?",25,Rebekka R
Pair11,3,A,(0:31:58.1),Han er blå.,25,Rebekka R
Pair11,3,B,(0:32:00.0),Han skal bare tappes.,25,Rebekka R
Pair11,3,A,(0:32:00.7),Han skal bare tappes.,25,Rebekka R
Pair11,3,B,(0:32:07.0),Han skal bare dræbes.,26,Rebekka R
Pair11,3,A,(0:32:14.3),"1'er, tror jeg.",27,Rebekka R
Pair11,3,B,(0:32:14.8),"Ja, jeg tror også han er ligegyldig.",27,Rebekka R
Pair11,3,A,(0:32:20.1),Dræb ham!,28,Rebekka R
Pair11,3,B,(0:32:20.9),Ja.,28,Rebekka R
Pair11,3,A,(0:32:20.9),Han ser rasende ud!,28,Rebekka R
Pair11,3,B,(0:32:24.1),"Blå, for fanden. ",29,Rebekka R
Pair11,3,A,(0:32:25.8),"Når ja, blå går jo ud med den der ",29,Rebekka R
Pair11,3,B,(0:32:26.5),Blå er det bedste.,29,Rebekka R
Pair11,3,B,(0:32:28.9),Han er ligegyldig.,30,Rebekka R
Pair11,3,A,(0:32:29.1),Ja.,30,Rebekka R
Pair11,3,A,(0:32:31.3),Jeg tror blå den udligner store arme. Han skal bare ignoreres.,31,Rebekka R
Pair11,3,B,(0:32:35.0),Han skal bare ignoreres.,31,Rebekka R
Pair11,3,B,(0:32:40.6),Ignoreres.,32,Rebekka R
Pair11,3,A,(0:32:40.8),"Ignoreres, ja.",32,Rebekka R
Pair11,3,A,(0:32:45.7),2'er.,33,Rebekka R
Pair11,3,B,(0:32:46.0),2'er.,33,Rebekka R
Pair11,3,B,(0:32:49.5),Øjne og pletter... Han skal vel også bare ignoreres.,34,Rebekka R
Pair11,3,A,(0:32:52.5),Han skal tappes   han har øjne!,34,Rebekka R
Pair11,3,B,(0:32:55.2),Men han er blå...,34,Rebekka R
Pair11,3,A,(0:32:56.0),"Ja, men tap ham.",34,Rebekka R
Pair11,3,B,(0:32:56.6),Tap ham?,34,Rebekka R
Pair11,3,A,(0:32:56.9),Tap ham.,34,Rebekka R
Pair11,3,B,(0:32:58.7),Blå skal bare ignoreres.,35,Rebekka R
Pair11,3,A,(0:32:59.9),Så er det pletter på blå. Han skal dræbes og tappes.,35,Rebekka R
Pair11,3,B,(0:33:02.9),Dræbes og tappes.,35,Rebekka R
Pair11,3,A,(0:33:03.8),Det er kun pletter på blå åbenbart.,35,Rebekka R
Pair11,3,B,(0:33:06.1),Der skal tappes?,35,Rebekka R
Pair11,3,A,(0:33:06.9),Ja.,35,Rebekka R
Pair11,3,A,(0:33:08.0),Tap ham. Han har de der øjne.,36,Rebekka R
Pair11,3,B,(0:33:10.5),Øjnene.,36,Rebekka R
Pair11,3,A,(0:33:16.1),2'er.,37,Rebekka R
Pair11,3,B,(0:33:16.1),Han skal tappes.,37,Rebekka R
Pair11,3,A,(0:33:17.5),Han skal tappes.,37,Rebekka R
Pair11,3,A,(0:33:23.8),"Han skal bare ignoreres, tror jeg  nej   han skal dræbes og tappes.",38,Rebekka R
Pair11,3,B,(0:33:24.9),Han skal dræbes og tappes.,38,Rebekka R
Pair11,3,A,(0:33:26.0),Nej han skal bare dræbes.,38,Rebekka R
Pair11,3,B,(0:33:28.5),Ja... For han har ikke øjnene   han skal bare dræbes.,38,Rebekka R
Pair11,3,B,(0:33:33.6),Han skal tappes.,39,Rebekka R
Pair11,3,A,(0:33:34.3),Han skal tappes.,39,Rebekka R
Pair11,3,A,(0:33:40.0),Dræbes og tappes.,40,Rebekka R
Pair11,3,B,(0:33:40.7),Dræbes og tappes.,40,Rebekka R
Pair11,3,A,(0:33:41.8),Han har de der arme.,40,Rebekka R
Pair11,3,B,(0:33:43.1),Og øjnene.,40,Rebekka R
Pair11,3,B,(0:33:46.8),Blå. Godt.,41,Rebekka R
Pair11,3,A,(0:33:47.5),Ignorer.,41,Rebekka R
Pair11,3,B,(0:33:49.7),Ingen pletter.,41,Rebekka R
Pair11,3,A,(0:33:51.0),Ingen pletter   skal ignoreres.,41,Rebekka R
Pair11,3,B,(0:33:56.4),Tappes.,42,Rebekka R
Pair11,3,A,(0:33:56.7),Tap ham.,42,Rebekka R
Pair11,3,A,(0:34:03.8),Ignorer ham. Han er blå. Eller også skal han dræbes.,43,Rebekka R
Pair11,3,B,(0:34:10.7),Dræb  nej tappes.,44,Rebekka R
Pair11,3,A,(0:34:11.7),"Tap ham, ja.",44,Rebekka R
Pair11,3,A,(0:34:17.1),Tap ham.,45,Rebekka R
Pair11,3,B,(0:34:23.3),Ignorer ham.,46,Rebekka R
Pair11,3,A,(0:34:23.6),Ignorer ham.,46,Rebekka R
Pair11,3,A,(0:34:31.5),Ignorer ham.,47,Rebekka R
Pair11,3,B,(0:34:37.9),Ignoreres.,48,Rebekka R
Pair11,3,A,(0:34:38.4),"Ja, ignorer ham.",48,Rebekka R
Pair11,3,A,(0:34:44.2),Ignorer.,49,Rebekka R
Pair11,3,A,(0:34:50.2),Hmm. Aldrig ignorer en blå. Dræb og tap.,50,Rebekka R
Pair11,3,B,(0:34:50.5),Dræb og tap.,50,Rebekka R
Pair11,3,A,(0:34:56.6),Tap ham.,51,Rebekka R
Pair11,3,B,(0:34:57.5),Skal vi bare tappe ham?,51,Rebekka R
Pair11,3,A,(0:34:58.4),"Ah   var det ikke noget med, at tykke ben udgør  jo  ignorer ham.",51,Rebekka R
Pair11,3,B,(0:35:02.5),Bare ignoreres?,51,Rebekka R
Pair11,3,A,(0:35:02.9),Ja.,51,Rebekka R
Pair11,3,B,(0:35:08.4),Øjne. Tappes?,52,Rebekka R
Pair11,3,A,(0:35:09.6),Men ben.,52,Rebekka R
Pair11,3,B,(0:35:10.7),Men ben. Ignoreres?,52,Rebekka R
Pair11,3,A,(0:35:11.9),Ignorer ham.,52,Rebekka R
Pair11,3,B,(0:35:17.1),Øjne og pletter   dræbes og tappes.,53,Rebekka R
Pair11,3,A,(0:35:18.7),Tappes.,53,Rebekka R
Pair11,3,B,(0:35:19.6),Bare tappes?,53,Rebekka R
Pair11,3,A,(0:35:19.8),Bare tappes.,53,Rebekka R
Pair11,3,B,(0:35:26.1),Øjne men ben.,54,Rebekka R
Pair11,3,A,(0:35:26.8),Ignoreres.,54,Rebekka R
